ESTADO,BANCO_VENCEDOR,VALOR_FINAL,VALOR_PARCELA,QTD_PARCELA,CARENCIA,TAXA_CLIENTE,VALOR_TOTAL_PAGAR,SPREAD_EFETIVO
MT,Santander,20710.27,690.34,30.0,90.0,1.9,20710.2,0.0
RO,Sol Agora,38693.36,1784.94,36.0,150.0,2.03,64257.840000000004,-0.27
RJ,Sol Agora,13435.97,654.31,36.0,150.0,1.9,23555.159999999996,0.0
MT,Santander,17034.9,564.64,48.0,90.0,1.75,27102.72,0.0
PE,Santander,7070.0,235.67,30.0,90.0,1.9,7070.099999999999,0.0
MG,Sol Agora,11856.57,586.48,36.0,150.0,1.9,21113.28,0.0
SP,Santander,12321.43,410.71,30.0,90.0,1.9,12321.3,0.0
MT,Santander,20595.12,666.67,30.0,90.0,1.9,20000.1,0.0
BA,Santander,13000.0,433.33,30.0,90.0,1.9,12999.9,0.0
MG,Sol Agora,11856.57,586.48,36.0,150.0,1.9,21113.28,0.0
SP,Santander,33478.0,5597.8,30.0,90.0,1.36,167934.0,0.0
SP,Santander,22500.0,5597.8,10.0,30.0,1.36,55978.0,0.0
ES,Sol Agora,8147.99,427.21,36.0,150.0,1.9,15379.56,0.0
MT,Omni,6881.07,359.66,36.0,90.0,2.39,12947.76,0.4900000000000002
RS,Santander,17631.58,587.72,30.0,90.0,1.9,17631.600000000002,0.0
PE,Santander,25095.84,836.53,30.0,90.0,1.9,25095.899999999998,0.0
SP,Santander,13437.5,447.92,30.0,90.0,1.9,13437.6,0.0
BA,Santander,11640.0,388.0,30.0,90.0,1.9,11640.0,0.0
MT,Santander,15420.66,514.02,30.0,90.0,1.9,15420.599999999999,0.0
MG,Santander,11640.0,388.0,30.0,90.0,1.9,11640.0,0.0
SP,Santander,7819.44,651.62,12.0,30.0,1.9,7819.4400000000005,0.19999999999999996
SP,Santander,11640.0,388.0,30.0,90.0,1.9,11640.0,0.0
MG,Santander,20339.31,677.98,30.0,90.0,1.9,20339.4,0.0
PR,Santander,13437.5,559.9,24.0,90.0,1.9,13437.599999999999,0.0
SP,Omni,12342.1,609.68,36.0,90.0,2.99,21948.48,0.0
SP,Santander,15456.99,483.1,48.0,120.0,1.43,23188.800000000003,0.0
MG,Santander,16643.31,693.47,24.0,90.0,1.9,16643.28,0.0
MT,Santander,15050.0,501.67,30.0,90.0,1.9,15050.1,0.0
MG,Santander,7914.17,263.81,30.0,90.0,1.9,7914.3,0.0
BA,Santander,17647.8,1470.65,12.0,30.0,1.9,17647.800000000003,0.0
RO,Santander,14679.57,489.32,30.0,90.0,1.9,14679.6,0.0
SP,Santander,18491.31,616.38,30.0,90.0,1.9,18491.4,0.0
MT,Sol Agora,15174.0,899.44,36.0,150.0,2.98,32379.840000000004,0.18999999999999995
SP,Santander,19351.83,645.06,30.0,90.0,1.9,19351.8,0.0
SP,Santander,14243.75,474.79,30.0,90.0,1.9,14243.7,0.0
SP,Santander,15978.93,532.63,30.0,90.0,1.9,15978.9,0.0
SP,Santander,15484.66,516.16,30.0,90.0,1.9,15484.8,0.0
MT,Omni,7575.37,431.16,36.0,90.0,2.99,15521.76,0.0
MT,Omni,22033.89,1042.59,36.0,90.0,2.39,37533.24,0.0
PE,Santander,13000.0,433.33,30.0,90.0,1.9,12999.9,0.0
BA,Omni,20431.17,922.37,36.0,90.0,2.79,33205.32,0.20000000000000018
SP,Santander,27731.31,924.38,30.0,90.0,1.9,27731.4,0.0
SP,Santander,60171.47,2005.72,30.0,90.0,1.9,60171.6,0.0
SP,Santander,25300.0,843.33,30.0,90.0,1.9,25299.9,0.0
MT,Santander,17631.58,587.72,30.0,90.0,1.9,17631.600000000002,0.0
GO,Santander,6909.97,266.85,60.0,90.0,1.95,16011.000000000002,0.050000000000000044
RS,Santander,18780.46,626.02,30.0,90.0,1.9,18780.6,0.0
SC,Santander,20595.12,686.5,30.0,90.0,1.9,20595.0,0.0
RS,Sol Agora,15171.27,820.5,36.0,150.0,2.5,29538.0,0.0
MT,Sol Agora,12944.67,460.86,60.0,150.0,1.9,27651.600000000002,0.0
SP,Santander,20339.31,677.98,30.0,90.0,1.9,20339.4,0.0
MG,Santander,14795.31,493.18,30.0,90.0,1.9,14795.4,0.0
SP,Omni,9406.25,510.71,36.0,90.0,2.79,18385.559999999998,0.0
SP,Sol Agora,12093.74,596.67,36.0,150.0,1.9,21480.12,0.0
MG,Sol Agora,8147.99,559.69,25.0,150.0,1.9,13992.250000000002,0.0
MT,Sol Agora,40719.99,1826.11,36.0,150.0,1.9,65739.95999999999,0.0
MG,Santander,7070.0,235.67,30.0,90.0,1.9,7070.099999999999,0.0
RS,Omni,18968.0,1063.43,12.0,90.0,2.59,12761.16,0.0
SP,Sol Agora,12937.49,632.91,36.0,150.0,1.9,22784.76,0.0
RS,Sol Agora,9406.25,481.25,36.0,150.0,1.9,17325.0,0.0
MT,Sol Agora,30148.5,1221.22,48.0,150.0,2.2,58618.56,0.0
SP,Omni,10349.87,437.67,36.0,90.0,2.59,15756.12,0.0
BA,Santander,11640.0,388.0,30.0,90.0,1.9,11640.0,0.0
PR,BV,6884.7,244.0,60.0,90.0,2.64,14640.0,0.7400000000000002
SP,Sol Agora,6095.0,352.38,36.0,150.0,1.9,12685.68,0.0
BA,Sol Agora,18115.47,622.49,60.0,150.0,1.9,37349.4,0.0
MS,Santander,7914.17,263.81,30.0,90.0,1.9,7914.3,0.0
